[03-May-2025 14:27:06 Europe/Berlin] PHP Notice:  session_start(): Ignoring session_start() because a session is already active in C:\xampp\htdocs\NPL\config\database.php on line 3
[03-May-2025 14:27:10 Europe/Berlin] PHP Notice:  session_start(): Ignoring session_start() because a session is already active in C:\xampp\htdocs\NPL\config\database.php on line 3
[03-May-2025 14:27:10 Europe/Berlin] PHP Warning:  include(../../includes/header.php): Failed to open stream: No such file or directory in C:\xampp\htdocs\NPL\pages\user\admin_dashboard.php on line 16
[03-May-2025 14:27:10 Europe/Berlin] PHP Warning:  include(): Failed opening '../../includes/header.php' for inclusion (include_path='C:\xampp\php\PEAR') in C:\xampp\htdocs\NPL\pages\user\admin_dashboard.php on line 16
[03-May-2025 14:27:58 Europe/Berlin] PHP Warning:  include(../../includes/header.php): Failed to open stream: No such file or directory in C:\xampp\htdocs\NPL\pages\user\admin_dashboard.php on line 16
[03-May-2025 14:27:58 Europe/Berlin] PHP Warning:  include(): Failed opening '../../includes/header.php' for inclusion (include_path='C:\xampp\php\PEAR') in C:\xampp\htdocs\NPL\pages\user\admin_dashboard.php on line 16
[03-May-2025 14:27:59 Europe/Berlin] PHP Notice:  session_start(): Ignoring session_start() because a session is already active in C:\xampp\htdocs\NPL\config\database.php on line 3
[03-May-2025 14:28:03 Europe/Berlin] PHP Notice:  session_start(): Ignoring session_start() because a session is already active in C:\xampp\htdocs\NPL\config\database.php on line 3
[03-May-2025 14:28:03 Europe/Berlin] PHP Deprecated:  number_format(): Passing null to parameter #1 ($num) of type float is deprecated in C:\xampp\htdocs\NPL\pages\user\staff_dashboard.php on line 332
[03-May-2025 14:28:03 Europe/Berlin] PHP Deprecated:  number_format(): Passing null to parameter #1 ($num) of type float is deprecated in C:\xampp\htdocs\NPL\pages\user\staff_dashboard.php on line 341
[03-May-2025 14:28:41 Europe/Berlin] PHP Deprecated:  number_format(): Passing null to parameter #1 ($num) of type float is deprecated in C:\xampp\htdocs\NPL\pages\user\staff_dashboard.php on line 332
[03-May-2025 14:28:41 Europe/Berlin] PHP Deprecated:  number_format(): Passing null to parameter #1 ($num) of type float is deprecated in C:\xampp\htdocs\NPL\pages\user\staff_dashboard.php on line 341
[03-May-2025 14:28:42 Europe/Berlin] PHP Deprecated:  number_format(): Passing null to parameter #1 ($num) of type float is deprecated in C:\xampp\htdocs\NPL\pages\user\staff_dashboard.php on line 332
[03-May-2025 14:28:42 Europe/Berlin] PHP Deprecated:  number_format(): Passing null to parameter #1 ($num) of type float is deprecated in C:\xampp\htdocs\NPL\pages\user\staff_dashboard.php on line 341
[03-May-2025 14:29:13 Europe/Berlin] PHP Deprecated:  number_format(): Passing null to parameter #1 ($num) of type float is deprecated in C:\xampp\htdocs\NPL\pages\user\staff_dashboard.php on line 332
[03-May-2025 14:29:13 Europe/Berlin] PHP Deprecated:  number_format(): Passing null to parameter #1 ($num) of type float is deprecated in C:\xampp\htdocs\NPL\pages\user\staff_dashboard.php on line 341
[03-May-2025 14:29:18 Europe/Berlin] PHP Warning:  include(../../includes/header.php): Failed to open stream: No such file or directory in C:\xampp\htdocs\NPL\pages\user\admin_dashboard.php on line 16
[03-May-2025 14:29:18 Europe/Berlin] PHP Warning:  include(): Failed opening '../../includes/header.php' for inclusion (include_path='C:\xampp\php\PEAR') in C:\xampp\htdocs\NPL\pages\user\admin_dashboard.php on line 16
[03-May-2025 14:29:22 Europe/Berlin] PHP Warning:  include(../../includes/header.php): Failed to open stream: No such file or directory in C:\xampp\htdocs\NPL\pages\user\admin_dashboard.php on line 16
[03-May-2025 14:29:22 Europe/Berlin] PHP Warning:  include(): Failed opening '../../includes/header.php' for inclusion (include_path='C:\xampp\php\PEAR') in C:\xampp\htdocs\NPL\pages\user\admin_dashboard.php on line 16
[03-May-2025 14:29:24 Europe/Berlin] PHP Warning:  include(../../includes/header.php): Failed to open stream: No such file or directory in C:\xampp\htdocs\NPL\pages\user\admin_dashboard.php on line 16
[03-May-2025 14:29:24 Europe/Berlin] PHP Warning:  include(): Failed opening '../../includes/header.php' for inclusion (include_path='C:\xampp\php\PEAR') in C:\xampp\htdocs\NPL\pages\user\admin_dashboard.php on line 16
[03-May-2025 14:29:59 Europe/Berlin] PHP Warning:  include(../../includes/header.php): Failed to open stream: No such file or directory in C:\xampp\htdocs\NPL\pages\user\admin_dashboard.php on line 16
